model,metric,term,coef,std_err,z_or_t,pvalue,converged,notes
qwen2.5:7b-instruct,dissociated_explanation_shift,Intercept,0.1750000000000002,0.03516454814375062,4.976603119841337,6.470980966428277e-07,True,
qwen2.5:7b-instruct,dissociated_explanation_shift,C(condition)[T.christian_pre],0.008333333333333238,0.03551456756057916,0.23464549636198187,0.8144838942230144,True,
qwen2.5:7b-instruct,dissociated_explanation_shift,C(condition)[T.secular_post],0.008333333333333266,0.03551456756057916,0.23464549636198268,0.8144838942230137,True,
qwen2.5:7b-instruct,dissociated_explanation_shift,C(condition)[T.secular_pre],0.008333333333333259,0.03551456756057916,0.23464549636198248,0.8144838942230139,True,
qwen2.5:7b-instruct,dissociated_explanation_shift,Group Var,0.9607716376694273,0.18049127066782872,5.3230919928399505,1.0201811943875469e-07,True,
qwen2.5:0.5b-instruct,j1_act_shift,Intercept,4.374970742061238e-17,0.005867952374523818,7.455702539535804e-15,0.999999999999994,True,
qwen2.5:0.5b-instruct,j1_act_shift,C(condition)[T.christian_pre],0.00833333333333328,0.006775728809121112,1.2298799978705472,0.21874204546564946,True,
qwen2.5:0.5b-instruct,j1_act_shift,C(condition)[T.secular_post],-3.305226462894463e-17,0.006775728809121113,-4.8780382981756134e-15,0.9999999999999961,True,
qwen2.5:0.5b-instruct,j1_act_shift,C(condition)[T.secular_pre],0.00833333333333328,0.006775728809121112,1.2298799978705472,0.21874204546564946,True,
qwen2.5:0.5b-instruct,j1_act_shift,Group Var,0.49999953817163645,0.11180327839574807,4.472136643451519,7.744191492666182e-06,True,
qwen2.5:0.5b-instruct,j1_heart_shift,Intercept,2.6031167368693018e-17,0.007166579823613489,3.6322999267965655e-15,0.9999999999999971,True,
qwen2.5:0.5b-instruct,j1_heart_shift,C(condition)[T.christian_pre],0.008333333333333276,0.008941910660213614,0.9319410190947044,0.35136700747871785,True,
qwen2.5:0.5b-instruct,j1_heart_shift,C(condition)[T.secular_post],-4.477899532654784e-17,0.008941910660213616,-5.007765904639233e-15,0.999999999999996,True,
qwen2.5:0.5b-instruct,j1_heart_shift,C(condition)[T.secular_pre],0.016666666666666594,0.008941910660213616,1.863882038189413,0.06233827164812881,True,
qwen2.5:0.5b-instruct,j1_heart_shift,Group Var,0.28467486708601997,0.07970401161418594,3.5716504266311326,0.0003547387022184881,True,
qwen2.5:0.5b-instruct,j2_act_revision,MODEL_SKIPPED,,,,,False,no_metric_variation
qwen2.5:0.5b-instruct,j2_heart_revision,Intercept,0.008333333333333312,0.005867952374523822,1.420143314303834,0.15556596245445964,True,
qwen2.5:0.5b-instruct,j2_heart_revision,C(condition)[T.christian_pre],-0.0083333333333333,0.006775728809121127,-1.2298799978705477,0.21874204546564935,True,
qwen2.5:0.5b-instruct,j2_heart_revision,C(condition)[T.secular_post],1.6121363503411093e-17,0.006775728809121127,2.379281101349477e-15,0.9999999999999981,True,
qwen2.5:0.5b-instruct,j2_heart_revision,C(condition)[T.secular_pre],-0.0083333333333333,0.006775728809121127,-1.2298799978705477,0.21874204546564935,True,
qwen2.5:0.5b-instruct,j2_heart_revision,Group Var,0.49999953817163423,0.11180327839574764,4.472136643451516,7.744191492666266e-06,True,
qwen2.5:0.5b-instruct,motive_focus_shift,Intercept,0.1916666666666666,0.035624351824233215,5.380214848885663,7.439699523209017e-08,True,
qwen2.5:0.5b-instruct,motive_focus_shift,C(condition)[T.christian_pre],-9.066821367772088e-18,0.008263600199973175,-1.0971999066219976e-15,0.9999999999999991,True,
qwen2.5:0.5b-instruct,motive_focus_shift,C(condition)[T.secular_post],-0.01666666666666665,0.008263600199973175,-2.016877179842359,0.0437083320666569,True,
qwen2.5:0.5b-instruct,motive_focus_shift,C(condition)[T.secular_pre],-9.251858538542966e-18,0.008263600199973175,-1.1195917414510203e-15,0.9999999999999991,True,
qwen2.5:0.5b-instruct,motive_focus_shift,Group Var,36.169382240223015,5.429068740777094,6.662170616584583,2.6981253172767873e-11,True,
qwen2.5:0.5b-instruct,semantic_controlled_present,Intercept,0.03333333333333333,0.009184011400614875,3.629496075222821,0.0002839750485729456,True,
qwen2.5:0.5b-instruct,semantic_controlled_present,C(condition)[T.christian_pre],-0.033333333333333354,0.012988150159535687,-2.5664419431477365,0.010274782390445584,True,
qwen2.5:0.5b-instruct,semantic_controlled_present,C(condition)[T.secular_post],-0.025000000000000026,0.012988150159535687,-1.9248314573608032,0.05425044714968883,True,
qwen2.5:0.5b-instruct,semantic_controlled_present,C(condition)[T.secular_pre],-0.033333333333333354,0.012988150159535687,-2.5664419431477365,0.010274782390445584,True,
qwen2.5:0.5b-instruct,semantic_controlled_present,Group Var,5.112665586618755e-07,0.03779132196315222,1.35286762172643e-05,0.9999892056781184,True,
qwen2.5:0.5b-instruct,dissociated_explanation_shift,Intercept,0.03333333333333333,0.009184011400614875,3.629496075222821,0.0002839750485729456,True,
qwen2.5:0.5b-instruct,dissociated_explanation_shift,C(condition)[T.christian_pre],-0.033333333333333354,0.012988150159535687,-2.5664419431477365,0.010274782390445584,True,
qwen2.5:0.5b-instruct,dissociated_explanation_shift,C(condition)[T.secular_post],-0.025000000000000026,0.012988150159535687,-1.9248314573608032,0.05425044714968883,True,
qwen2.5:0.5b-instruct,dissociated_explanation_shift,C(condition)[T.secular_pre],-0.033333333333333354,0.012988150159535687,-2.5664419431477365,0.010274782390445584,True,
qwen2.5:0.5b-instruct,dissociated_explanation_shift,Group Var,5.112665586618755e-07,0.03779132196315222,1.35286762172643e-05,0.9999892056781184,True,
